id,type,name,dept,programOffice,opCategory,opCategoryNum,priority,address,lat,lng,direct,indirect,total,depth,upstreamCount,restorationScore,score,description
3CA02,Process,Vendor Payments,Finance,Finance,Critical Admin,3,2,,,,0,0,0,0,3,44,44,"Vendor Payments is a critical admin process owned by Finance. It supports day-to-day operations and is referenced during disruptions where its inputs, outputs, or supporting resources are degraded. Restoration sequencing depends on the upstream systems and personnel that this process draws on."
3CA03,Process,Internal Communications,Human Resources,HR / Comms,Critical Admin,3,3,,,,0,0,0,0,3,42,42,"Internal Communications is a critical admin process owned by Human Resources. It supports day-to-day operations and is referenced during disruptions where its inputs, outputs, or supporting resources are degraded. Restoration sequencing depends on the upstream systems and personnel that this process draws on."
3CA04,Process,HR Records Management,Human Resources,HR,Critical Admin,3,4,,,,0,0,0,0,3,40,40,"HR Records Management is a critical admin process owned by Human Resources. It supports day-to-day operations and is referenced during disruptions where its inputs, outputs, or supporting resources are degraded. Restoration sequencing depends on the upstream systems and personnel that this process draws on."
3CA05,Process,Regulatory Reporting,Finance,Finance / Compliance,Critical Admin,3,5,,,,0,0,0,0,1,39,39,"Regulatory Reporting is a critical admin process owned by Finance. It supports day-to-day operations and is referenced during disruptions where its inputs, outputs, or supporting resources are degraded. Restoration sequencing depends on the upstream systems and personnel that this process draws on."
3CA06,Process,Financial Reporting,Finance,Finance,Critical Admin,3,6,,,,0,0,0,0,3,38,38,"Financial Reporting is a critical admin process owned by Finance. It supports day-to-day operations and is referenced during disruptions where its inputs, outputs, or supporting resources are degraded. Restoration sequencing depends on the upstream systems and personnel that this process draws on."
4OT01,Process,Training & Development,Human Resources,HR,Other,4,1,,,,0,0,0,0,1,25,25,"Training & Development is a other process owned by Human Resources. It supports day-to-day operations and is referenced during disruptions where its inputs, outputs, or supporting resources are degraded. Restoration sequencing depends on the upstream systems and personnel that this process draws on."
4OT02,Process,Vendor Onboarding,Supply Chain,Supply Chain,Other,4,2,,,,0,0,0,0,1,24,24,"Vendor Onboarding is a other process owned by Supply Chain. It supports day-to-day operations and is referenced during disruptions where its inputs, outputs, or supporting resources are degraded. Restoration sequencing depends on the upstream systems and personnel that this process draws on."
4OT03,Process,Public Relations,Human Resources,HR / Comms,Other,4,3,,,,0,0,0,0,1,22,22,"Public Relations is a other process owned by Human Resources. It supports day-to-day operations and is referenced during disruptions where its inputs, outputs, or supporting resources are degraded. Restoration sequencing depends on the upstream systems and personnel that this process draws on."
4OT04,Process,Visitor Management,Security,Security,Other,4,4,,,,0,0,0,0,2,20,20,"Visitor Management is a other process owned by Security. It supports day-to-day operations and is referenced during disruptions where its inputs, outputs, or supporting resources are degraded. Restoration sequencing depends on the upstream systems and personnel that this process draws on."
S001,System,Primary Power Grid,Facilities Management,Facilities,Critical Operations,2,1,,,,27,44,71,4,0,90,90,"Primary Power Grid is a system within Facilities Management's portfolio. It provides services that other processes and systems depend on, and its availability affects the cascade of downstream operations. During incidents, restoring this system removes blockers for the items listed in its downstream dependencies."
S002,System,Backup Generator System,Facilities Management,Facilities,Critical Operations,2,1,,,,5,43,48,4,1,90,90,"Backup Generator System is a system within Facilities Management's portfolio. It provides services that other processes and systems depend on, and its availability affects the cascade of downstream operations. During incidents, restoring this system removes blockers for the items listed in its downstream dependencies."
S003,System,Uninterruptible Power Supply (UPS),Information Technology,IT Infra,Critical Operations,2,1,,,,3,43,46,3,1,90,90,"Uninterruptible Power Supply (UPS) is a system within Information Technology's portfolio. It provides services that other processes and systems depend on, and its availability affects the cascade of downstream operations. During incidents, restoring this system removes blockers for the items listed in its downstream dependencies."
S004,System,Active Directory,Information Technology,IT Infra,Critical Operations,2,1,,,,12,12,24,2,3,85,85,"Active Directory is a system within Information Technology's portfolio. It provides services that other processes and systems depend on, and its availability affects the cascade of downstream operations. During incidents, restoring this system removes blockers for the items listed in its downstream dependencies."
S005,System,Network Core Switching,Information Technology,IT Infra,Critical Operations,2,1,,,,21,19,40,2,2,90,90,"Network Core Switching is a system within Information Technology's portfolio. It provides services that other processes and systems depend on, and its availability affects the cascade of downstream operations. During incidents, restoring this system removes blockers for the items listed in its downstream dependencies."
S006,System,Internet Service (Primary ISP),Information Technology,IT Infra,Critical Operations,2,1,,,,7,7,14,2,1,80,80,"Internet Service (Primary ISP) is a system within Information Technology's portfolio. It provides services that other processes and systems depend on, and its availability affects the cascade of downstream operations. During incidents, restoring this system removes blockers for the items listed in its downstream dependencies."
S007,System,Internet Service (Backup ISP),Information Technology,IT Infra,Critical Operations,2,2,,,,2,5,7,2,1,75,75,"Internet Service (Backup ISP) is a system within Information Technology's portfolio. It provides services that other processes and systems depend on, and its availability affects the cascade of downstream operations. During incidents, restoring this system removes blockers for the items listed in its downstream dependencies."
S008,System,SCADA / Plant Control,Operations,Operations / IT,Critical Operations,2,1,,,,4,0,4,1,2,74,74,"SCADA / Plant Control is a system within Operations's portfolio. It provides services that other processes and systems depend on, and its availability affects the cascade of downstream operations. During incidents, restoring this system removes blockers for the items listed in its downstream dependencies."
S009,System,Manufacturing Execution System (MES),Operations,Operations / IT,Critical Operations,2,1,,,,3,0,3,1,1,73,73,"Manufacturing Execution System (MES) is a system within Operations's portfolio. It provides services that other processes and systems depend on, and its availability affects the cascade of downstream operations. During incidents, restoring this system removes blockers for the items listed in its downstream dependencies."
S010,System,Fire Alarm & Suppression Control,Security,Security / Facilities,Life Safety,1,1,,,,2,0,2,1,2,92,92,"Fire Alarm & Suppression Control is a system within Security's portfolio. It provides services that other processes and systems depend on, and its availability affects the cascade of downstream operations. During incidents, restoring this system removes blockers for the items listed in its downstream dependencies."
S011,System,Email System (M365),Information Technology,IT Apps,Critical Admin,3,1,,,,5,0,5,1,5,49,49,"Email System (M365) is a system within Information Technology's portfolio. It provides services that other processes and systems depend on, and its availability affects the cascade of downstream operations. During incidents, restoring this system removes blockers for the items listed in its downstream dependencies."
S012,System,VPN,Information Technology,IT Infra,Critical Operations,2,2,,,,0,0,0,0,4,68,68,"VPN is a system within Information Technology's portfolio. It provides services that other processes and systems depend on, and its availability affects the cascade of downstream operations. During incidents, restoring this system removes blockers for the items listed in its downstream dependencies."
S013,System,VoIP Phone System,Information Technology,IT Infra,Critical Operations,2,2,,,,4,0,4,1,2,72,72,"VoIP Phone System is a system within Information Technology's portfolio. It provides services that other processes and systems depend on, and its availability affects the cascade of downstream operations. During incidents, restoring this system removes blockers for the items listed in its downstream dependencies."
S014,System,Mass Notification Platform,Emergency Management,Emergency Mgmt,Life Safety,1,1,,,,3,0,3,1,1,93,93,"Mass Notification Platform is a system within Emergency Management's portfolio. It provides services that other processes and systems depend on, and its availability affects the cascade of downstream operations. During incidents, restoring this system removes blockers for the items listed in its downstream dependencies."
S015,System,Two-Way Radio Network,Operations,Operations,Critical Operations,2,2,,,,4,0,4,1,0,72,72,"Two-Way Radio Network is a system within Operations's portfolio. It provides services that other processes and systems depend on, and its availability affects the cascade of downstream operations. During incidents, restoring this system removes blockers for the items listed in its downstream dependencies."
S016,System,Cellular Service,Information Technology,IT Infra,Critical Operations,2,3,,,,3,0,3,1,1,70,70,"Cellular Service is a system within Information Technology's portfolio. It provides services that other processes and systems depend on, and its availability affects the cascade of downstream operations. During incidents, restoring this system removes blockers for the items listed in its downstream dependencies."
S017,System,ERP System,Finance,Finance / IT,Critical Operations,2,2,,,,5,0,5,1,4,72,72,"ERP System is a system within Finance's portfolio. It provides services that other processes and systems depend on, and its availability affects the cascade of downstream operations. During incidents, restoring this system removes blockers for the items listed in its downstream dependencies."
S018,System,Warehouse Management System (WMS),Supply Chain,Supply Chain / IT,Critical Operations,2,2,,,,3,0,3,1,4,72,72,"Warehouse Management System (WMS) is a system within Supply Chain's portfolio. It provides services that other processes and systems depend on, and its availability affects the cascade of downstream operations. During incidents, restoring this system removes blockers for the items listed in its downstream dependencies."
S019,System,Transportation Management System (TMS),Supply Chain,Supply Chain / IT,Critical Operations,2,3,,,,2,2,4,2,2,72,72,"Transportation Management System (TMS) is a system within Supply Chain's portfolio. It provides services that other processes and systems depend on, and its availability affects the cascade of downstream operations. During incidents, restoring this system removes blockers for the items listed in its downstream dependencies."
S020,System,HVAC Control System,Facilities Management,Facilities,Critical Operations,2,3,,,,3,43,46,4,1,87,87,"HVAC Control System is a system within Facilities Management's portfolio. It provides services that other processes and systems depend on, and its availability affects the cascade of downstream operations. During incidents, restoring this system removes blockers for the items listed in its downstream dependencies."
S021,System,Access Control / Badge System,Security,Security,Critical Operations,2,2,,,,2,0,2,1,2,71,71,"Access Control / Badge System is a system within Security's portfolio. It provides services that other processes and systems depend on, and its availability affects the cascade of downstream operations. During incidents, restoring this system removes blockers for the items listed in its downstream dependencies."
S022,System,Video Surveillance (CCTV),Security,Security,Critical Operations,2,3,,,,1,0,1,1,2,69,69,"Video Surveillance (CCTV) is a system within Security's portfolio. It provides services that other processes and systems depend on, and its availability affects the cascade of downstream operations. During incidents, restoring this system removes blockers for the items listed in its downstream dependencies."
S023,System,Public Address System,Facilities Management,Facilities / EM,Life Safety,1,2,,,,2,0,2,1,1,91,91,"Public Address System is a system within Facilities Management's portfolio. It provides services that other processes and systems depend on, and its availability affects the cascade of downstream operations. During incidents, restoring this system removes blockers for the items listed in its downstream dependencies."
S024,System,Time Clock System,Human Resources,HR / IT,Critical Admin,3,2,,,,1,0,1,1,0,46,46,"Time Clock System is a system within Human Resources's portfolio. It provides services that other processes and systems depend on, and its availability affects the cascade of downstream operations. During incidents, restoring this system removes blockers for the items listed in its downstream dependencies."
S025,System,HRIS,Human Resources,HR / IT,Critical Admin,3,3,,,,2,0,2,1,2,44,44,"HRIS is a system within Human Resources's portfolio. It provides services that other processes and systems depend on, and its availability affects the cascade of downstream operations. During incidents, restoring this system removes blockers for the items listed in its downstream dependencies."
S026,System,Document Management System,Information Technology,IT Apps,Critical Admin,3,3,,,,3,0,3,1,2,45,45,"Document Management System is a system within Information Technology's portfolio. It provides services that other processes and systems depend on, and its availability affects the cascade of downstream operations. During incidents, restoring this system removes blockers for the items listed in its downstream dependencies."
S027,System,Network File Storage,Information Technology,IT Infra,Critical Admin,3,2,,,,0,0,0,0,2,44,44,"Network File Storage is a system within Information Technology's portfolio. It provides services that other processes and systems depend on, and its availability affects the cascade of downstream operations. During incidents, restoring this system removes blockers for the items listed in its downstream dependencies."
S028,System,Backup & Recovery System,Information Technology,IT Infra,Critical Admin,3,3,,,,0,0,0,0,3,42,42,"Backup & Recovery System is a system within Information Technology's portfolio. It provides services that other processes and systems depend on, and its availability affects the cascade of downstream operations. During incidents, restoring this system removes blockers for the items listed in its downstream dependencies."
S029,System,Video Conferencing Platform,Information Technology,IT Apps,Other,4,2,,,,0,0,0,0,3,24,24,"Video Conferencing Platform is a system within Information Technology's portfolio. It provides services that other processes and systems depend on, and its availability affects the cascade of downstream operations. During incidents, restoring this system removes blockers for the items listed in its downstream dependencies."
S030,System,Help Desk / Ticketing System,Information Technology,IT Apps,Other,4,3,,,,0,0,0,0,2,22,22,"Help Desk / Ticketing System is a system within Information Technology's portfolio. It provides services that other processes and systems depend on, and its availability affects the cascade of downstream operations. During incidents, restoring this system removes blockers for the items listed in its downstream dependencies."
S031,System,Customer Portal,Operations,Operations / IT,Critical Admin,3,4,,,,0,0,0,0,2,40,40,"Customer Portal is a system within Operations's portfolio. It provides services that other processes and systems depend on, and its availability affects the cascade of downstream operations. During incidents, restoring this system removes blockers for the items listed in its downstream dependencies."
S032,System,Vendor Portal,Supply Chain,Supply Chain / IT,Other,4,3,,,,0,0,0,0,2,22,22,"Vendor Portal is a system within Supply Chain's portfolio. It provides services that other processes and systems depend on, and its availability affects the cascade of downstream operations. During incidents, restoring this system removes blockers for the items listed in its downstream dependencies."
S033,System,Print Management Service,Information Technology,IT Apps,Other,4,4,,,,0,0,0,0,1,20,20,"Print Management Service is a system within Information Technology's portfolio. It provides services that other processes and systems depend on, and its availability affects the cascade of downstream operations. During incidents, restoring this system removes blockers for the items listed in its downstream dependencies."
S034,System,Visitor Management System,Security,Security,Other,4,3,,,,1,0,1,1,1,24,24,"Visitor Management System is a system within Security's portfolio. It provides services that other processes and systems depend on, and its availability affects the cascade of downstream operations. During incidents, restoring this system removes blockers for the items listed in its downstream dependencies."
S035,System,Wi-Fi (Guest),Information Technology,IT Infra,Other,4,4,,,,0,0,0,0,2,20,20,"Wi-Fi (Guest) is a system within Information Technology's portfolio. It provides services that other processes and systems depend on, and its availability affects the cascade of downstream operations. During incidents, restoring this system removes blockers for the items listed in its downstream dependencies."
F001,Facility,Headquarters Building,Facilities Management,Facilities,Critical Admin,3,2,"1500 Meridian Pkwy, Anytown",38.9072,-77.0369,4,0,4,1,1,47,47,"Headquarters Building is a facility under Facilities Management's responsibility. It physically houses operations, systems, and personnel whose availability is conditional on the building being accessible, powered, and safe. Damage or denial of access cascades through the functions that depend on this site."
F002,Facility,Operations Center / EOC,Emergency Management,Emergency Mgmt,Life Safety,1,1,"1502 Meridian Pkwy, Anytown",38.9075,-77.0371,3,0,3,1,2,93,93,"Operations Center / EOC is a facility under Emergency Management's responsibility. It physically houses operations, systems, and personnel whose availability is conditional on the building being accessible, powered, and safe. Damage or denial of access cascades through the functions that depend on this site."
F003,Facility,Production Plant A,Operations,Operations,Critical Operations,2,1,"210 Industrial Way, Anytown",38.902,-77.041,2,0,2,1,2,72,72,"Production Plant A is a facility under Operations's responsibility. It physically houses operations, systems, and personnel whose availability is conditional on the building being accessible, powered, and safe. Damage or denial of access cascades through the functions that depend on this site."
F004,Facility,Production Plant B,Operations,Operations,Critical Operations,2,2,"240 Industrial Way, Anytown",38.9018,-77.0395,2,0,2,1,2,71,71,"Production Plant B is a facility under Operations's responsibility. It physically houses operations, systems, and personnel whose availability is conditional on the building being accessible, powered, and safe. Damage or denial of access cascades through the functions that depend on this site."
F005,Facility,Distribution Warehouse (Main),Supply Chain,Supply Chain,Critical Operations,2,2,"300 Logistics Blvd, Anytown",38.8995,-77.042,3,0,3,1,1,72,72,"Distribution Warehouse (Main) is a facility under Supply Chain's responsibility. It physically houses operations, systems, and personnel whose availability is conditional on the building being accessible, powered, and safe. Damage or denial of access cascades through the functions that depend on this site."
F006,Facility,Distribution Warehouse (Overflow),Supply Chain,Supply Chain,Critical Operations,2,4,"320 Logistics Blvd, Anytown",38.899,-77.0418,1,1,2,2,1,70,70,"Distribution Warehouse (Overflow) is a facility under Supply Chain's responsibility. It physically houses operations, systems, and personnel whose availability is conditional on the building being accessible, powered, and safe. Damage or denial of access cascades through the functions that depend on this site."
F007,Facility,Maintenance Shop,Engineering & Maintenance,Engineering,Critical Operations,2,3,"180 Industrial Way, Anytown",38.9028,-77.0425,2,2,4,3,1,74,74,"Maintenance Shop is a facility under Engineering & Maintenance's responsibility. It physically houses operations, systems, and personnel whose availability is conditional on the building being accessible, powered, and safe. Damage or denial of access cascades through the functions that depend on this site."
F008,Facility,Fleet Operations Hub,Supply Chain,Supply Chain,Critical Operations,2,3,"350 Logistics Blvd, Anytown",38.8985,-77.0415,2,2,4,2,1,72,72,"Fleet Operations Hub is a facility under Supply Chain's responsibility. It physically houses operations, systems, and personnel whose availability is conditional on the building being accessible, powered, and safe. Damage or denial of access cascades through the functions that depend on this site."
F009,Facility,Primary Data Center,Information Technology,IT Infra,Critical Operations,2,1,"1510 Meridian Pkwy, Anytown",38.9078,-77.0365,4,37,41,3,3,90,90,"Primary Data Center is a facility under Information Technology's responsibility. It physically houses operations, systems, and personnel whose availability is conditional on the building being accessible, powered, and safe. Damage or denial of access cascades through the functions that depend on this site."
F010,Facility,Backup Data Center,Information Technology,IT Infra,Critical Operations,2,2,"4400 Reserve Dr, Anytown",38.891,-77.025,1,0,1,1,0,70,70,"Backup Data Center is a facility under Information Technology's responsibility. It physically houses operations, systems, and personnel whose availability is conditional on the building being accessible, powered, and safe. Damage or denial of access cascades through the functions that depend on this site."
F011,Facility,Security Command Center,Security,Security,Life Safety,1,1,"1505 Meridian Pkwy, Anytown",38.9073,-77.0368,2,0,2,1,2,92,92,"Security Command Center is a facility under Security's responsibility. It physically houses operations, systems, and personnel whose availability is conditional on the building being accessible, powered, and safe. Damage or denial of access cascades through the functions that depend on this site."
F012,Facility,Training Center,Human Resources,HR,Other,4,2,"1520 Meridian Pkwy, Anytown",38.908,-77.036,1,0,1,1,1,26,26,"Training Center is a facility under Human Resources's responsibility. It physically houses operations, systems, and personnel whose availability is conditional on the building being accessible, powered, and safe. Damage or denial of access cascades through the functions that depend on this site."
F013,Facility,Loading Dock A,Supply Chain,Supply Chain,Critical Operations,2,3,"305 Logistics Blvd, Anytown",38.8993,-77.0422,1,1,2,2,1,71,71,"Loading Dock A is a facility under Supply Chain's responsibility. It physically houses operations, systems, and personnel whose availability is conditional on the building being accessible, powered, and safe. Damage or denial of access cascades through the functions that depend on this site."
F014,Facility,Loading Dock B,Supply Chain,Supply Chain,Critical Operations,2,4,"315 Logistics Blvd, Anytown",38.8991,-77.042,1,1,2,2,1,70,70,"Loading Dock B is a facility under Supply Chain's responsibility. It physically houses operations, systems, and personnel whose availability is conditional on the building being accessible, powered, and safe. Damage or denial of access cascades through the functions that depend on this site."
F015,Facility,Wellness Clinic,Human Resources,HR / Wellness,Life Safety,1,3,"1518 Meridian Pkwy, Anytown",38.9079,-77.0362,1,0,1,1,1,89,89,"Wellness Clinic is a facility under Human Resources's responsibility. It physically houses operations, systems, and personnel whose availability is conditional on the building being accessible, powered, and safe. Damage or denial of access cascades through the functions that depend on this site."
